"Código","Nombre","Desc Tipo_PR"
"42021","PEGUERILLAS (APD)","APEADERO"
"43002","CAMAS (APD)","APEADERO"
"43007","HUEVAR (APD)","APEADERO"
"43012","VILLARRASA (APD)","APEADERO"
"43014","SANLUCAR LA MAYOR (APD)","APEADERO"
"43015","NIEBLA-PUERTA DEL BUEY (APD)","APEADERO"
"43021","SAN JUAN DEL PUERTO (APD)","APEADERO"
"43024","HUELVA-MERCANCIAS (APD)","APEADERO"
"50417","CAMPUS UNIVERS. DE RABANALES(APD)","APEADERO"
"50602","GUADAJOZ (APD)","APEADERO"
"50701","CANTILLANA (APD)","APEADERO"
"50703","LA RINCONADA (APD)","APEADERO"
"51009","PALACIO DE CONGRESOS (APD)","APEADERO"
"51010","PADRE PIO-PALMETE (APD)","APEADERO"
"51051","ESTADIO OLIMPICO (APD)","APEADERO"
"51100","SAN BERNARDO  (APD)","APEADERO"
"51102","LOS MERINALES (APD)","APEADERO"
"51110","VIRGEN DEL ROCIO (APD)","APEADERO"
"51111","BELLAVISTA (APD)","APEADERO"
"51112","CANTAELGALLO (APD)","APEADERO"
"51401","PUERTO REAL (APD)","APEADERO"
"51402","SAN FERNANDO-CENTRO (APD)","APEADERO"
"51404","SEGUNDA AGUADA (APD)","APEADERO"
"51409","ESTADIO (APD)","APEADERO"
"51414","SAN SEVERIANO (APD)","APEADERO"
"51416","UNIVERSIDAD DE CADIZ (APD)","APEADERO"
"51417","VALDELAGRANA (APD)","APEADERO"
"54501","VICTORIA KENT (APD)","APEADERO"
"54503","GUADALHORCE (APD)","APEADERO"
"54504","TERMINAL DE CARGAS (APD)","APEADERO"
"54505","AEROPUERTO (APD)","APEADERO"
"54506","SAN JULIAN (APD)","APEADERO"
"54507","CAMPO DE GOLF-CAMPAMENTO (APD)","APEADERO"
"54508","LA COLINA (APD)","APEADERO"
"21002","MIÑO (APD)","APEADERO"
"21003","PERBES (APD)","APEADERO"
"21005","CABANAS (APD)","APEADERO"
"21006","FRANZA (APD)","APEADERO"
"21007","BARALLOBRE (APD)","APEADERO"
"21008","PERLIO (APD)","APEADERO"
"22002","AREAS (APD)","APEADERO"
"22004","SAN PEDRO DO SIL (APD)","APEADERO"
"22105","POUSA-CRECENTE (APD)","APEADERO"
"22107","SELA (APD)","APEADERO"
"22110","CALDELAS (APD)","APEADERO"
"22302","CHAPELA (APD)","APEADERO"
"23000","REDONDELA-PICOTA (APD)","APEADERO"
"23001","CESANTES (APD)","APEADERO"
"23002","ARCADE (APD)","APEADERO"
"23003","FIGUEIRIDO (APD)","APEADERO"
"23013","OSEBE (APD)","APEADERO"
"23018","PONTEVEDRA UNIVERSIDAD (APD)","APEADERO"
"30110","LA ALAMEDILLA (APD)","APEADERO"
"31003","POLLOS (APD)","APEADERO"
"31009","CORESES (APD)","APEADERO"
"31105","LOSACIO-SAN MARTIN (APD)","APEADERO"
"31106","FERRERUELA DE TABARA (APD)","APEADERO"
"31107","ABEJERA (APD)","APEADERO"
"31109","CABAÑAS DE ALISTE (APD)","APEADERO"
"31110","LA TORRE DE ALISTE-POBLADURA (AP","APEADERO"
"31113","ROBLEDO DE SANABRIA (APD)","APEADERO"
"31212","PONTEAMBIA (APD)","APEADERO"
"31215","OURENSE-SAN FRANCISCO (APD)","APEADERO"
"31303","A FRIELA-MASIDE (APD)","APEADERO"
"31305","BOBORAS (APD)","APEADERO"
"31307","SAN XOAN DE VILANOVA (APD)","APEADERO"
"31310","SILLEDA (APD)","APEADERO"
"31403","GARGA-TRASMONTE (APD)","APEADERO"
"31407","CERCEDA (APD)","APEADERO"
"31408","VILA DA IGREXA (APD)","APEADERO"
"32003","FRESNO EL VIEJO (APD)","APEADERO"
"32006","EL PEDROSO DE LA ARMUÑA (APD)","APEADERO"
"32007","PITIEGUA (APD)","APEADERO"
"32009","MORISCOS (APD)","APEADERO"
"33004","ROBLIZA (APD)","APEADERO"
"33007","MUÑOZ (APD)","APEADERO"
"33009","MARTIN DE YELTES (APD)","APEADERO"
"33010","EL COLLADO (APD)","APEADERO"
"33012","EL SALTO (APD)","APEADERO"
"33014","CARPIO DE AZABA (APD)","APEADERO"
"34003","MONSALUPE (APD)","APEADERO"
"34004","AVEINTE (APD)","APEADERO"
"34007","CRESPOS (APD)","APEADERO"
"34008","NARROS DEL CASTILLO (APD)","APEADERO"
"34011","VILLAR DE GALLIMAZO (APD)","APEADERO"
"34013","SAN MORALES (APD)","APEADERO"
"34014","ALDEALENGUA (APD)","APEADERO"
"35009","ZARZAQUEMADA (APD)","APEADERO"
"35010","LA SERNA-FUENLABRADA (APD)","APEADERO"
"35011","PARQUE POLVORANCA (APD)","APEADERO"
"35102","BARGAS (APD)","APEADERO"
"35207","CASATEJADA (APD)","APEADERO"
"35302","CASAS DE MILLAN (APD)","APEADERO"
"35304","RIO TAJO (APD)","APEADERO"
"35404","HERRERUELA (APD)","APEADERO"
"35407","KM. 428,5 (FRONTERA)","APEADERO"
"35601","MAESTRA JUSTA FREIRE-P.ALUCHE (APD)","APEADERO"
"35602","LAS AGUILAS (APD)","APEADERO"
"15011","BERCIANOS DEL REAL CAMINO (APD)","APEADERO"
"15105","LA SECA (APD)","APEADERO"
"15107","BUEN SUCESO (APD)","APEADERO"
"15111","VILLASIMPLIZ (APD)","APEADERO"
"15119","LA FRECHA (APD)","APEADERO"
"15121","LA COBERTORIA (APD)","APEADERO"
"15123","VILLALLANA (APD)","APEADERO"
"15202","SANTULLANO (APD)","APEADERO"
"15203","MIERES-PUENTE (APD)","APEADERO"
"15206","LA PEREDA-RIOSA (APD)","APEADERO"
"15209","LAS SEGADAS (APD)","APEADERO"
"15214","LUGO DE LLANERA-BASE (APD)","APEADERO"
"15217","LA CORREDORIA (APD)","APEADERO"
"15218","LLAMAQUIQUE (APD)","APEADERO"
"15303","MONTEANA (APD)","APEADERO"
"15305","VILLABONA-TABLADIELLO (APD)","APEADERO"
"16001","STA. EULALIA DE MANZANEDA (APD)","APEADERO"
"16006","BARROS (APD)","APEADERO"
"16010","CIAÑO (APD)","APEADERO"
"16301","FERROÑES (APD)","APEADERO"
"16402","LA ROCICA (APD)","APEADERO"
"16406","LOS CAMPOS (APD)","APEADERO"
"16408","LOS CAMPOS (APD)","APEADERO"
"17003","EL GOLOSO (APD)","APEADERO"
"17007","SOTO EL REAL (APD)","APEADERO"
"17010","DIPUTACION (APD)","APEADERO"
"17106","BRAOJOS-LA SERNA (APD)","APEADERO"
"17110","BOCEGUILLAS (APD)","APEADERO"
"17112","MADERUELO-LINARES (APD)","APEADERO"
"17113","FUENTELCESPED-SANTA CRUZ (APD)","APEADERO"
"17114","GARGANTA DE LOS MONTES (APD)","APEADERO"
"17115","LA ACEBEDA (APD)","APEADERO"
"17116","SANTA CRUZ DE LA SALCEDA (APD)","APEADERO"
"17201","GUMIEL DE HIZAN (APD)","APEADERO"
"17204","FONTIOSO (APD)","APEADERO"
"17205","LERMA (APD)","APEADERO"
"17206","VILLAMAYOR DE LOS MONTES (APD)","APEADERO"
"17208","SARRACIN (APD)","APEADERO"
"18001","MADRID-RECOLETOS (APD)","APEADERO"
"18003","MENDEZ ALVARO (APD)","APEADERO"
"18004","DELICIAS (APD)","APEADERO"
"18005","PIRAMIDES (APD)","APEADERO"
"18101","SOL (APD)","APEADERO"
"19001","UNIV.PONTIFICIA DE COMILLAS (APD)","APEADERO"
"19002","VALDELASFUENTES (APD)","APEADERO"
"20007","NISTAL (APD)","APEADERO"
"20008","VILLAVANTE (APD)","APEADERO"
"20101","OTERO DE ESCARPIZO (APD)","APEADERO"
"20112","VILLAVERDE DE LOS CESTOS (APD)","APEADERO"
"20202","POSADA DEL BIERZO (APD)","APEADERO"
"20203","VILLADEPALOS (APD)","APEADERO"
"20206","LA BAROSA (APD)","APEADERO"
"20209","PUMARES (APD)","APEADERO"
"20302","BOVEDA (APD)","APEADERO"
"20306","PEDRELO-CELTIGOS (APD)","APEADERO"
"20311","BEGONTE (APD)","APEADERO"
"20313","PARGA (APD)","APEADERO"
"20315","ARANGA (APD)","APEADERO"
"20318","PIÑOI (APD)","APEADERO"
"20319","CESURAS (APD)","APEADERO"
"20401","GUISAMO (APD)","APEADERO"
"20402","CECEBRE (APD)","APEADERO"
"20403","CAMBRE (APD)","APEADERO"
"20410","ELVIÑA-UNIVERSIDADE (APD)","APEADERO"
"12011","LOS ANGELES DE SAN R. (APD)","APEADERO"
"12012","OTERO-HERREROS (APD)","APEADERO"
"12013","ORTIGOSA DEL MONTE (APD)","APEADERO"
"12015","CERCEDILLA-PUEBLO (APD)","APEADERO"
"12016","LAS ERAS Y LOS CASTAÑOS (APD)","APEADERO"
"12017","CAMORRITOS (APD)","APEADERO"
"12018","SIETE PICOS (APD)","APEADERO"
"12019","COLLADO ALBO (APD)","APEADERO"
"12021","DOS CASTILLAS (APD)","APEADERO"
"12022","VAQUERIZAS (APD)","APEADERO"
"13102","SALBIO (APD)","APEADERO"
"13103","LUIAONDO (APD)","APEADERO"
"13104","SANTA CRUZ DE LLODIO (APD)","APEADERO"
"13107","ARETA (APD)","APEADERO"
"13108","ARBIDE (APD)","APEADERO"
"13109","ARRANKUDIAGA (APD)","APEADERO"
"13112","BASAURI (APD)","APEADERO"
"13115","BAKIOLA (APD)","APEADERO"
"13116","IÑARRATXU (APD)","APEADERO"
"13117","ARAKALDO (APD)","APEADERO"
"13118","ABAROA-SAN MIGUEL (APD)","APEADERO"
"13119","LA PEÑA DE BILBAO (APD)","APEADERO"
"13120","MIRIBILLA (APD)","APEADERO"
"13121","AMURRIO IPARRALDE (APD)","APEADERO"
"13205","ZABALBURU (APD)","APEADERO"
"13206","AMETZOLA (APD)","APEADERO"
"13207","AUTONOMIA (APD)","APEADERO"
"13208","SAN MAMES (APD)","APEADERO"
"13401","SESTAO (APD)","APEADERO"
"13402","LA IBERIA (APD)","APEADERO"
"13403","PORTUGALETE  (APD)","APEADERO"
"13404","PEÑOTA (APD)","APEADERO"
"13502","TRAPAGA (APD)","APEADERO"
"13507","URIOSTE (APD)","APEADERO"
"13508","GALLARTA (APD)","APEADERO"
"13509","SAGRADA FAMILIA (APD)","APEADERO"
"14102","AMUSCO (APD)","APEADERO"
"14103","PIÑA (APD)","APEADERO"
"14105","MARCILLA DE CAMPOS (APD)","APEADERO"
"14106","LAS CABAÑAS DE CASTILLA (APD)","APEADERO"
"14108","ESPINOSA DE VILLAGONZALO (APD)","APEADERO"
"14110","SAN CRISTOBAL DE BOEDO (APD)","APEADERO"
"14113","MAVE (APD)","APEADERO"
"14115","QUINTANILLA DE LAS TORRES (APD)","APEADERO"
"14117","EL CARRION (APD)","APEADERO"
"14207","MOLLEDO-PORTOLIN (APD)","APEADERO"
"14208","SANTA CRUZ DE IGUÑA (APD)","APEADERO"
"14211","LAS CALDAS DE BESAYA (APD)","APEADERO"
"14212","VIERNOLES (APD)","APEADERO"
"14214","SIERRAPANDO (APD)","APEADERO"
"14215","ZURITA (APD)","APEADERO"
"14217","PARBAYON (APD)","APEADERO"
"14220","MALIAÑO (APD)","APEADERO"
"14230","VALDECILLA (APD)","APEADERO"
"14231","NUEVA MONTAÑA (APD)","APEADERO"
"14232","LOMBERA (APD)","APEADERO"
"14233","RIO EBRO (APD)","APEADERO"
"14234","PUJAYO (APD)","APEADERO"
"14235","ARENAS DE IGUÑA (APD)","APEADERO"
"14236","VIOÑO (APD)","APEADERO"
"14237","MURIEDAS-BAHIA (APD)","APEADERO"
"15001","GRIJOTA (APD)","APEADERO"
"15006","CISNEROS (APD)","APEADERO"
"15008","GRAJAL (APD)","APEADERO"
"00004","EL PORVENIR ( APD )","APEADERO"
"00007","VILLANUEVA DEL REY (APD)","APEADERO"
"05003","SIERRA ELVIRA (APD)","APEADERO"
"05005","ANZOLA (APD)","APEADERO"
"05006","SAN PASCUAL (APD)","APEADERO"
"05007","ILLORA-LACHAR (APD)","APEADERO"
"05008","ALOMARTES (APD)","APEADERO"
"05010","VILLANUEVA-MESIA (APD)","APEADERO"
"05011","HUETOR-TAJAR (APD)","APEADERO"
"05013","LOJA-SAN FRANCISCO (APD)","APEADERO"
"05014","RIOFRIO (APD)","APEADERO"
"06005","LORCA-SAN DIEGO (APD)","APEADERO"
"06007","PUERTO LUMBRERAS (APD)","APEADERO"
"06008","ALCANTARILLA-LOS ROMANOS (APD)","APEADERO"
"06100","ALMENDRICOS (APD)","APEADERO"
"07001","PULPI (APD)","APEADERO"
"07003","JARAVIA (APD)","APEADERO"
"07007","AGUILAS-EL LABRADORCICO (APD)","APEADERO"
"10001","ARAVACA (APD)","APEADERO"
"10005","LAS ROZAS (APD)","APEADERO"
"10007","MAJADAHONDA (APD)","APEADERO"
"10010","EL BARRIAL-C.COM.- POZUELO (APD)","APEADERO"
"10104","GALAPAGAR-LA NAVATA (APD)","APEADERO"
"10201","SAN YAGO (APD)","APEADERO"
"10202","LAS ZORRERAS-NAVALQUEJIGO (APD)","APEADERO"
"10209","EL PIMPOLLAR (APD)","APEADERO"
"10404","VELAYOS (APD)","APEADERO"
"10406","ADANERO (APD)","APEADERO"
"10407","ADANERO-M. (APD)","APEADERO"
"10408","ORBITA-ESPINOSA (APD)","APEADERO"
"10502","MATAPOZUELOS (APD)","APEADERO"
"10604","CUBILLAS DE SANTA MARTA (APD)","APEADERO"
"10610","VALLADOLID UNIVERSIDAD (APD)","APEADERO"
"11008","LOS BALBASES (APD)","APEADERO"
"11104","BARRIOS DE COLINA (APD)","APEADERO"
"11107","CASTIL DE PEONES (APD)","APEADERO"
"11204","LA PUEBLA DE ARGANZON (APD)","APEADERO"
"11206","TRESPUENTES (APD)","APEADERO"
"11209","ESTIVALIZ-OREITIA (APD)","APEADERO"
"11211","EZKEREKOTXA (APD)","APEADERO"
"11214","EGUINO (APD)","APEADERO"
"11215","ZIORDIA (APD)","APEADERO"
"11216","OLAZTI-OLAZAGUTIA (APD)","APEADERO"
"11304","ZEGAMA (APD)","APEADERO"
"11306","LEGAZPI (APD)","APEADERO"
"11402","ORMAIZTEGUI (APD)","APEADERO"
"11405","ORDIZIA (APD)","APEADERO"
"11406","ITSASONDO (APD)","APEADERO"
"11408","IKAZTEGIETA (APD)","APEADERO"
"11409","ALEGIA (APD)","APEADERO"
"11501","TOLOSA-ERDIA (APD)","APEADERO"
"11502","ANOETA (APD)","APEADERO"
"11504","ANDOAIN-ERDIA (APD)","APEADERO"
"11506","URNIETA (APD)","APEADERO"
"11507","HERNANI-ERDIA (APD)","APEADERO"
"11509","MARTUTENE (APD)","APEADERO"
"11510","LOIOLA / TXOMIN ENEA (APD)","APEADERO"
"11512","GROS (APD)","APEADERO"
"11513","ATEGORRIETA (APD)","APEADERO"
"11514","HERRERA / ALTZA (APD)","APEADERO"
"11518","VENTAS DE IRUN (APD)","APEADERO"
"12001","LOS NEGRALES (APD)","APEADERO"
"12008","GUDILLOS (APD)","APEADERO"
"12009","SAN RAFAEL (APD)","APEADERO"
