"Código","Longitud","Latitud"
"11216","",""
"11220","",""
"11221","-2,745911","42,85127"
"11300","-2,181218","42,894856"
"11303","-2,263594","42,939425"
"11304","",""
"11305","-2,334618","43,018796"
"11306","-2,33059","43,051029"
"11400","-2,32001","43,087105"
"11402","-2,256438","43,040262"
"11403","",""
"11404","-2,202352","43,046247"
"11405","-2,1792","43,052714"
"11406","-2,162626","43,068441"
"11407","-2,140898","43,085725"
"11408","-2,125577","43,094023"
"11409","-2,097187","43,101731"
"11411","-2,278671","43,058808"
"11500","-2,079037","43,135457"
"11501","-2,074155","43,138569"
"11502","-2,070398","43,162595"
"11503","-2,055387","43,18839"
"11504","-2,020521","43,214768"
"11505","-2,01566","43,221984"
"11506","-1,988435","43,247526"
"11507","-1,973269","43,264778"
"11508","-1,963741","43,272514"
"11509","-1,956199","43,299087"
"11510","-1,963686","43,303851"
"11511","-1,976902","43,317697"
"11512","-1,973536","43,321799"
"11513","-1,959847","43,320305"
"11514","-1,937119","43,318563"
"11515","-1,91716","43,3189"
"11516","-1,899509","43,315074"
"11518","-1,8168","43,330436"
"11521","",""
"11600","-1,801305","43,339467"
"11601","",""
"11602","",""
"11604","",""
"12001","-4,021912","40,638565"
"12002","-4,035127","40,658251"
"12004","-4,035877","40,692739"
"12005","-4,067192","40,70662"
"12006","-4,06647","40,737487"
"12007","-4,125385","40,705644"
"12008","-4,157734","40,716902"
"12009","-4,181425","40,714945"
"12010","-4,189551","40,74083"
"12011","-4,207409","40,778525"
"12012","-4,203557","40,800902"
"12013","-4,16815","40,832702"
"12014","-4,141142","40,856644"
"12015","",""
"12016","",""
"12017","",""
"12018","",""
"12019","",""
"12020","-4,004749","40,784444"
"12021","",""
"12022","",""
"12023","-3,964533","40,822265"
"12100","-4,113504","40,934224"
"13001","-2,907168","42,805003"
"13002","-2,896225","42,868592"
"13003","-2,900788","42,951395"
"13004","-2,91584","42,992981"
"13005","-2,98458","43,02083"
"13006","-2,979729","42,986775"
"13100","-3,015829","42,994606"
"13101","-3,001972","43,048988"
"13102","-2,999405","43,074142"
"13103","-2,999733","43,093588"
"13104","-2,96985","43,132833"
"13106","-2,96067","43,14232"
"13107","-2,9434","43,145105"
"13108","-2,927646","43,163161"
"13109","-2,918241","43,169872"
"13110","-2,902711","43,17907"
"13111","-2,88855","43,21007"
"13112","-2,882223","43,223385"
"13113","-2,88955","43,236916"
"13114","-2,9165","43,242446"
"13115","-2,909095","43,176979"
"13116","-3,003903","43,035797"
"13117","-2,938617","43,152632"
"13118","-2,887332","43,225839"
"13119","-2,923838","43,240045"
"13120","-2,92883","43,248675"
"13121","-2,996271","43,057729"
"13200","-2,927608","43,260606"
"13201","-2,939945","43,253803"
"13203","",""
"13205","-2,932619","43,256251"
"13206","-2,943666","43,254644"
"13207","-2,946057","43,258242"
"13208","-2,948793","43,26149"
"13300","",""
"13303","-2,954903","43,264084"
"13304","-2,972176","43,277711"
"13305","-2,975428","43,287757"
"13306","",""
"13400","-2,98388","43,300167"
"13401","-2,993948","43,308436"
"13402","-3,004485","43,312642"
"13403","-3,014997","43,318626"
"13404","-3,023472","43,326328"
"13405","-3,030082","43,328807"
"13407","",""
"13408","-3,060594","43,343827"
"13501","-3,010202","43,304102"
"13502","-3,017458","43,302853"
"13503","-3,02877","43,301467"
"13504","-3,060413","43,311523"
"13505","-3,091183","43,315663"
"13506","-3,112395","43,321391"
"13507","-3,041077","43,30753"
"13508","-3,067434","43,319295"
"13509","-3,053692","43,308613"
"14100","-4,533983","42,015659"
"14101","-4,501681","42,105555"
"14102","-4,480497","42,178179"
"14103","-4,434585","42,211722"
"14104","-4,402455","42,264895"
"14105","-4,382234","42,310254"
"14106","-4,363041","42,357014"
"14107","-4,357362","42,4142"
"14108","-4,374477","42,478948"
"14109","-4,370407","42,496975"
"14110","",""
"14111","-4,316528","42,598651"
"14112","-4,311383","42,656868"
"14113","-4,275605","42,723387"
"14114","-4,233824","42,785316"
"14115","-4,202725","42,818916"
"14117","-4,495849","42,116748"
"14200","-4,164958","42,871108"
"14201","-4,121862","42,91903"
"14202","-4,140499","42,994843"
"14203","-4,084011","43,058331"
"14204","-4,073841","43,082307"
"14205","-4,097505","43,102131"
"14206","-4,053481","43,128698"
"14207","-4,039071","43,145496"
"14208","-4,045082","43,170123"
"14209","-4,054132","43,193192"
"14210","-4,063989","43,255121"
"14211","-4,073228","43,298617"
"14212","-4,054","43,324486"
"14213","-4,042662","43,327612"
"14214","-4,02662","43,341712"
"14215","-3,991016","43,347701"
"14216","-3,949597","43,353083"
"14217","-3,89424","43,376703"
"14218","-3,859485","43,391471"
"14219","-3,841632","43,410392"
"14220","-3,842045","43,41742"
"14221","-3,848165","43,427106"
"14223","-3,811454","43,45924"
"14224","",""
"14226","-4,033211","43,387474"
"14227","-4,135667","42,951091"
"14228","-4,067591","43,131219"
"14230","-3,827903","43,454045"
"14231","-3,847199","43,444713"
"14232","-4,067596","43,265806"
"14233","-4,134408","43,000748"
"14234","-4,082643","43,12263"
"14235","-4,050076","43,185071"
"14236","-3,964805","43,360629"
"14237","-3,844134","43,421714"
"15001","-4,584845","42,049924"
"15002","-4,626872","42,086145"
"15003","-4,647132","42,104745"
"15004","-4,697514","42,150698"
"15005","-4,780777","42,178354"
"15006","-4,850233","42,191084"
"15007","-4,970556","42,245207"
"15008","-5,013421","42,323231"
"15009","-5,022655","42,369352"
"15010","-5,078739","42,402191"
"15011","",""
"15012","-5,208503","42,425727"
"15013","-5,296827","42,466342"
"15014","-5,386675","42,459977"
"15015","-5,497464","42,460636"
"15016","-5,537393","42,480971"
"15017","-5,559915","42,517273"
"15018","-5,580175","42,583396"
"15019","-5,589632","42,554676"
"15100","-5,580819","42,593186"
"15102","",""
"15103","-5,633432","42,681637"
"15104","",""
"15105","",""
"15106","-5,626428","42,803968"
"15107","",""
"15108","-5,674626","42,854025"
"15109","-5,639712","42,874946"
"15110","-5,640553","42,889135"
"15111","",""
"15112","-5,657717","42,936633"
"15113","-5,705306","42,984459"
"15114","-5,772849","43,027678"
"15115","-5,725544","43,070086"
"15116","-5,772208","43,10165"
"15117","-5,7957","43,106507"
"15118","-5,769414","43,07171"
"15119","-5,798545","43,096127"
"15120","-5,816379","43,110138"
"15121","-5,816027","43,130085"
"15122","-5,831011","43,158661"
"15123","-5,814621","43,183831"
"15200","-5,792669","43,20602"
"15202","-5,785612","43,220857"
"15203","-5,782237","43,250045"
"15204","-5,784655","43,254613"
"15205","-5,80476","43,2674"
"15206","-5,812254","43,277046"
"15207","-5,818851","43,296085"
"15208","-5,855818","43,30637"
"15209","-5,8692","43,313226"
"15210","-5,873283","43,329022"
"15211","-5,854885","43,366309"
"15212","-5,811938","43,404218"
"15214","-5,811295","43,434081"
"15217","-5,827138","43,388196"
"15218","-5,85734","43,358817"
"15300","-5,815926","43,442301"
"15301","-5,826377","43,461513"
"15302","-5,781933","43,504867"
"15303","-5,746364","43,520815"
"15304","-5,736568","43,527305"
"15305","-5,800049","43,474145"
"15400","-5,722789","43,541583"
"15401","-5,697983","43,535336"
"15402","",""
"15403","",""
"16001","-5,812619","43,317338"
"16002","-5,776873","43,331057"
"16005","-5,720882","43,321331"
"16006","-5,710932","43,317808"
"16008","-5,692811","43,304823"
"16009","-5,679444","43,291812"
"16010","-5,668692","43,289405"
"16011","-5,644679","43,287205"
"16101","-5,78607","43,388999"
