Fecha	T.ida	T.vuelta
20240112	35081	21438
20240112	21438	21769
20240112	21769	27869
20240112	27869	27979
20240112	27979	37021
20240112	37021	
20240112	21709	27809
20240112	27809	27919
20240112	27919	21718
20240112	21718	21431
20240112	21431	35066
20240112	35066	21739
20240112	21739	27839
20240112	27839	27949
20240112	27949	21748
20240112	21748	35081
20240112	35081	21438
20240112	21438	21769
20240112	21769	27869
20240112	27869	27979
20240112	27979	37021
20240112	37021	
20240112	27907	21706
20240112	21706	21423
20240112	21423	32945
20240112	32945	
20240112	27907	21706
20240112	21706	21423
20240112	21423	32945
20240112	32945	
20240112	21004	21408
20240112	21408	21421
20240112	21421	35056
20240112	35056	21727
20240112	21727	27827
20240112	27827	27937
20240112	27937	21736
20240112	21736	21441
20240112	21441	
20240112	21004	21408
20240112	21408	21421
20240112	21421	35056
20240112	35056	21727
20240112	21727	27827
20240112	27827	27937
20240112	27937	21736
20240112	21736	21441
20240112	21441	
20240112	21195	27803
20240112	27803	27913
20240112	27913	21712
20240112	21712	32803
20240112	32803	35062
20240112	35062	21733
20240112	21733	27833
20240112	27833	27943
20240112	27943	21742
20240112	21742	35075
20240112	35075	21522
20240112	21522	21763
20240112	21763	27863
20240112	27863	27973
20240112	27973	21772
20240112	21772	37067
20240112	37067	
20240112	21195	27803
20240112	27803	27913
20240112	27913	21712
20240112	21712	32803
20240112	32803	35062
20240112	35062	21733
20240112	21733	27833
20240112	27833	27943
20240112	27943	21742
20240112	21742	35075
20240112	35075	21522
20240112	21522	21763
20240112	21763	27863
20240112	27863	27973
20240112	27973	21772
20240112	21772	37067
20240112	37067	
20240112	27799	27909
20240112	27909	21708
20240112	21708	21515
20240112	21515	35058
20240112	35058	21729
20240112	21729	27829
20240112	27829	27939
20240112	27939	21738
20240112	21738	35071
20240112	35071	21436
20240112	21436	21759
20240112	21759	27859
20240112	27859	27969
20240112	27969	21768
20240112	21768	
20240112	27799	27909
20240112	27909	21708
20240112	21708	21515
20240112	21515	35058
20240112	35058	21729
20240112	21729	27829
20240112	27829	27939
20240112	27939	21738
20240112	21738	35071
20240112	35071	21436
20240112	21436	21759
20240112	21759	27859
20240112	27859	27969
20240112	27969	21768
20240112	21768	
20240112	21705	27805
20240112	27805	27915
20240112	27915	21714
20240112	21714	32805
20240112	32805	32080
20240112	32080	32087
20240112	32087	21642
20240112	21642	27025
20240112	27025	21434
20240112	21434	21757
20240112	21757	27857
20240112	27857	27967
20240112	27967	21766
20240112	21766	
20240112	21705	27805
20240112	27805	27915
20240112	27915	21714
20240112	21714	32805
20240112	32805	32080
20240112	32080	32087
20240112	32087	21642
20240112	21642	27025
20240112	27025	21434
20240112	21434	21757
20240112	21757	27857
20240112	27857	27967
20240112	27967	21766
20240112	21766	
20240112	21001	32934
20240112	32934	32800
20240112	32800	21719
20240112	21719	27819
20240112	27819	27929
20240112	27929	21728
20240112	21728	21521
20240112	21521	
20240112	21001	32934
20240112	32934	32800
20240112	32800	21719
20240112	21719	27819
20240112	27819	27929
20240112	27929	21728
20240112	21728	21521
20240112	21521	
20240112	37090	21102
20240112	21102	21209
20240112	21209	21116
20240112	21116	21223
20240112	21223	21130
20240112	21130	21237
20240112	21237	21144
20240112	21144	21251
20240112	21251	21158
20240112	21158	21265
20240112	21265	21170
20240112	21170	
20240112	37090	21102
20240112	21102	21209
20240112	21209	21116
20240112	21116	21223
20240112	21223	21130
20240112	21130	21237
20240112	21237	21144
20240112	21144	21251
20240112	21251	21158
20240112	21158	21265
20240112	21265	21170
20240112	21170	
20240112	21100	21207
20240112	21207	21114
20240112	21114	21221
20240112	21221	21128
20240112	21128	21235
20240112	21235	21142
20240112	21142	21249
20240112	21249	21156
20240112	21156	21263
20240112	21263	21168
20240112	21168	39013
20240112	39013	
20240112	21100	21207
20240112	21207	21114
20240112	21114	21221
20240112	21221	21128
20240112	21128	21235
20240112	21235	21142
20240112	21142	21249
